iter	Passed	Remaining
0	2	2562
1	5	2716
2	8	2660
3	10	2652
4	13	2715
5	16	2694
6	18	2682
7	21	2725
8	24	2728
9	27	2731
10	29	2689
11	32	2696
12	35	2695
13	38	2703
14	40	2643
15	42	2643
16	45	2646
17	48	2653
18	51	2668
19	54	2672
20	57	2669
21	59	2644
22	62	2634
23	64	2622
24	66	2612
25	69	2617
26	72	2609
27	75	2607
28	77	2599
29	80	2591
30	82	2586
31	85	2575
32	87	2569
33	90	2563
34	92	2558
35	95	2543
36	97	2545
37	100	2547
38	103	2543
39	105	2541
40	108	2537
41	111	2540
42	114	2550
43	118	2569
44	121	2578
45	124	2589
46	128	2595
47	130	2596
48	133	2596
49	136	2596
50	139	2600
51	142	2598
52	145	2596
53	148	2596
54	150	2592
55	153	2584
56	156	2591
57	159	2587
58	162	2586
59	165	2588
60	167	2584
61	170	2581
62	173	2577
63	176	2574
64	178	2568
65	181	2564
66	183	2560
67	186	2558
68	189	2558
69	192	2555
70	195	2553
71	197	2549
72	200	2542
73	202	2537
74	205	2531
75	207	2524
76	209	2514
77	212	2514
78	215	2508
79	217	2503
80	220	2499
81	222	2496
82	225	2491
83	228	2491
84	230	2478
85	232	2474
86	235	2469
87	238	2466
88	240	2463
89	243	2462
90	246	2458
91	248	2454
92	251	2451
93	254	2450
94	257	2454
95	261	2464
96	264	2463
97	267	2463
98	270	2465
99	273	2463
100	276	2463
101	279	2462
102	282	2457
103	285	2456
104	287	2453
105	291	2454
106	294	2455
107	297	2456
108	300	2453
109	302	2449
110	305	2447
111	308	2445
112	312	2453
113	316	2460
114	319	2457
115	321	2453
116	325	2453
117	327	2449
118	330	2444
119	332	2438
120	334	2432
121	337	2428
122	340	2426
123	342	2422
124	345	2419
125	348	2415
126	349	2404
127	352	2399
128	353	2389
129	356	2384
130	358	2381
131	361	2377
132	364	2373
133	366	2369
134	369	2367
135	372	2365
136	374	2361
137	377	2357
138	380	2354
139	382	2351
140	385	2348
141	388	2349
142	391	2345
143	393	2341
144	396	2337
145	399	2335
146	402	2334
147	405	2333
148	408	2332
149	411	2329
150	414	2328
151	416	2325
152	419	2323
153	422	2320
154	425	2317
155	427	2313
156	430	2309
157	432	2307
158	435	2304
159	438	2302
160	441	2299
161	443	2296
162	446	2293
163	449	2292
164	452	2287
165	454	2285
166	457	2282
167	459	2274
168	462	2272
169	465	2270
170	467	2268
171	470	2264
172	473	2261
173	475	2258
174	477	2251
175	480	2248
176	483	2246
177	485	2243
178	488	2241
179	491	2237
180	493	2232
181	495	2228
182	498	2226
183	501	2222
184	503	2219
185	506	2216
186	509	2213
187	510	2205
188	513	2203
189	516	2199
190	518	2197
191	521	2195
192	524	2193
193	527	2190
194	529	2186
195	532	2184
196	535	2182
197	538	2182
198	541	2181
199	545	2181
200	548	2180
201	551	2178
202	554	2176
203	557	2173
204	559	2170
205	562	2168
206	565	2165
207	567	2162
208	572	2165
209	575	2163
210	577	2161
211	582	2166
212	586	2167
213	591	2173
214	595	2175
215	600	2180
216	602	2173
217	604	2169
218	607	2166
219	609	2160
220	611	2156
221	614	2153
222	617	2150
223	619	2147
224	622	2144
225	625	2141
226	628	2139
227	631	2137
228	634	2136
229	637	2134
230	640	2132
231	643	2130
232	646	2127
233	649	2125
234	651	2122
235	654	2118
236	657	2116
237	659	2112
238	662	2109
239	665	2106
240	667	2102
241	670	2099
242	673	2097
243	676	2094
244	678	2090
245	680	2085
246	682	2081
247	685	2078
248	688	2075
249	690	2072
250	693	2068
251	695	2063
252	697	2060
253	700	2057
254	703	2054
255	706	2053
256	710	2053
257	713	2051
258	716	2048
259	718	2043
260	721	2042
261	724	2040
262	728	2040
263	731	2039
264	735	2039
265	738	2037
266	741	2034
267	743	2030
268	746	2027
269	748	2024
270	751	2021
271	753	2017
272	756	2014
273	759	2012
274	761	2008
275	764	2005
276	768	2005
277	770	2002
278	773	1999
279	776	1996
280	779	1993
281	781	1990
282	784	1987
283	786	1984
284	788	1977
285	790	1974
286	793	1971
287	795	1967
288	798	1965
289	800	1961
290	803	1957
291	805	1954
292	808	1950
293	811	1948
294	814	1945
295	816	1942
296	819	1939
297	822	1937
298	824	1933
299	827	1930
300	830	1927
301	831	1922
302	834	1919
303	836	1916
304	839	1912
305	842	1909
306	844	1906
307	846	1901
308	848	1898
309	851	1895
310	853	1891
311	855	1887
312	858	1884
313	861	1881
314	863	1878
315	866	1875
316	868	1872
317	871	1868
318	873	1865
319	876	1862
320	879	1860
321	882	1857
322	884	1853
323	887	1850
324	888	1846
325	891	1842
326	893	1838
327	896	1835
328	898	1832
329	901	1829
330	903	1826
331	905	1822
332	908	1820
333	910	1815
334	913	1812
335	915	1809
336	918	1806
337	920	1803
338	923	1800
339	926	1797
340	928	1794
341	930	1791
342	933	1787
343	935	1784
344	938	1781
345	941	1778
346	943	1775
347	944	1770
348	947	1767
349	949	1764
350	952	1761
351	955	1758
352	957	1755
353	960	1752
354	962	1749
355	965	1746
356	967	1742
357	968	1737
358	971	1734
359	974	1732
360	976	1729
361	979	1725
362	981	1722
363	984	1720
364	987	1717
365	990	1714
366	992	1711
367	994	1708
368	996	1704
369	1000	1702
370	1002	1699
371	1005	1696
372	1007	1693
373	1010	1691
374	1013	1689
375	1016	1686
376	1018	1683
377	1021	1681
378	1024	1678
379	1027	1676
380	1030	1673
381	1031	1669
382	1034	1666
383	1037	1664
384	1040	1661
385	1043	1659
386	1046	1657
387	1048	1653
388	1050	1650
389	1053	1648
390	1057	1646
391	1060	1644
392	1063	1642
393	1066	1639
394	1068	1637
395	1071	1634
396	1074	1632
397	1076	1628
398	1079	1625
399	1082	1623
400	1085	1620
401	1087	1618
402	1090	1615
403	1092	1612
404	1095	1609
405	1098	1607
406	1101	1604
407	1104	1602
408	1106	1599
409	1109	1596
410	1112	1594
411	1114	1591
412	1117	1588
413	1120	1585
414	1122	1582
415	1125	1579
416	1127	1576
417	1130	1573
418	1132	1570
419	1135	1568
420	1138	1565
421	1140	1562
422	1142	1559
423	1145	1556
424	1147	1553
425	1149	1549
426	1151	1545
427	1154	1542
428	1157	1540
429	1160	1537
430	1162	1535
431	1166	1533
432	1168	1530
433	1171	1527
434	1173	1524
435	1176	1521
436	1177	1517
437	1180	1515
438	1183	1512
439	1185	1509
440	1188	1506
441	1190	1503
442	1193	1500
443	1196	1497
444	1198	1494
445	1200	1491
446	1203	1489
447	1206	1486
448	1207	1482
449	1210	1479
450	1213	1476
451	1215	1473
452	1216	1468
453	1217	1464
454	1220	1461
455	1222	1458
456	1225	1455
457	1227	1452
458	1230	1450
459	1233	1447
460	1235	1444
461	1237	1441
462	1239	1438
463	1242	1435
464	1245	1432
465	1247	1430
466	1250	1426
467	1252	1423
468	1254	1420
469	1257	1417
470	1259	1415
471	1262	1412
472	1264	1409
473	1267	1406
474	1270	1403
475	1272	1401
476	1275	1398
477	1278	1395
478	1280	1393
479	1283	1390
480	1286	1387
481	1288	1384
482	1290	1381
483	1293	1378
484	1294	1374
485	1297	1371
486	1299	1368
487	1301	1366
488	1304	1363
489	1307	1360
490	1309	1357
491	1312	1354
492	1314	1352
493	1317	1349
494	1319	1346
495	1322	1343
496	1325	1341
497	1327	1338
498	1330	1335
499	1331	1331
500	1333	1328
501	1335	1325
502	1338	1322
503	1340	1319
504	1343	1316
505	1346	1314
506	1348	1311
507	1350	1307
508	1353	1305
509	1355	1302
510	1358	1299
511	1360	1297
512	1363	1294
513	1366	1291
514	1368	1289
515	1371	1286
516	1374	1284
517	1377	1281
518	1380	1279
519	1382	1276
520	1385	1273
521	1388	1271
522	1390	1268
523	1393	1265
524	1394	1261
525	1396	1258
526	1399	1255
527	1401	1253
528	1405	1251
529	1407	1248
530	1410	1245
531	1412	1242
532	1415	1239
533	1417	1237
534	1420	1234
535	1423	1232
536	1426	1229
537	1428	1226
538	1431	1224
539	1433	1221
540	1436	1219
541	1439	1216
542	1442	1213
543	1444	1210
544	1447	1208
545	1449	1205
546	1452	1202
547	1455	1200
548	1457	1197
549	1460	1194
550	1463	1192
551	1465	1189
552	1468	1187
553	1471	1184
554	1473	1181
555	1476	1178
556	1478	1176
557	1481	1173
558	1484	1170
559	1487	1168
560	1490	1165
561	1492	1163
562	1495	1160
563	1497	1157
564	1500	1155
565	1502	1152
566	1504	1149
567	1507	1146
568	1510	1144
569	1512	1141
570	1515	1138
571	1519	1136
572	1522	1134
573	1525	1131
574	1527	1129
575	1530	1126
576	1534	1124
577	1536	1122
578	1539	1119
579	1542	1117
580	1544	1113
581	1547	1111
582	1549	1108
583	1551	1105
584	1554	1102
585	1557	1100
586	1560	1097
587	1563	1095
588	1566	1092
589	1569	1090
590	1572	1088
591	1575	1085
592	1579	1083
593	1582	1081
594	1585	1078
595	1588	1076
596	1591	1074
597	1594	1072
598	1597	1069
599	1601	1067
600	1604	1064
601	1607	1062
602	1610	1060
603	1613	1057
604	1616	1055
605	1619	1052
606	1622	1050
607	1625	1047
608	1628	1045
609	1631	1042
610	1634	1040
611	1636	1037
612	1639	1035
613	1642	1032
614	1645	1029
615	1647	1027
616	1650	1024
617	1653	1021
618	1656	1019
619	1657	1016
620	1660	1013
621	1663	1011
622	1666	1008
623	1669	1005
624	1672	1003
625	1675	1001
626	1678	998
627	1681	995
628	1683	993
629	1686	990
630	1689	987
631	1691	985
632	1694	982
633	1696	979
634	1699	976
635	1701	973
636	1704	971
637	1706	968
638	1708	965
639	1711	962
640	1713	959
641	1716	957
642	1718	954
643	1721	951
644	1724	948
645	1726	946
646	1729	943
647	1731	940
648	1734	938
649	1737	935
650	1739	932
651	1742	929
652	1744	927
653	1747	924
654	1749	921
655	1752	918
656	1755	916
657	1757	913
658	1760	910
659	1763	908
660	1766	905
661	1768	903
662	1771	900
663	1773	897
664	1776	894
665	1778	892
666	1781	889
667	1784	887
668	1787	884
669	1790	881
670	1793	879
671	1795	876
672	1798	873
673	1801	871
674	1804	868
675	1806	865
676	1809	863
677	1811	860
678	1814	857
679	1817	855
680	1820	852
681	1822	850
682	1825	847
683	1828	844
684	1830	841
685	1833	839
686	1836	836
687	1839	834
688	1842	831
689	1844	828
690	1847	826
691	1850	823
692	1853	821
693	1856	818
694	1858	815
695	1861	813
696	1864	810
697	1866	807
698	1869	804
699	1871	802
700	1874	799
701	1876	796
702	1879	793
703	1881	791
704	1884	788
705	1886	785
706	1889	782
707	1891	780
708	1894	777
709	1896	774
710	1899	771
711	1901	769
712	1904	766
713	1906	763
714	1909	761
715	1911	758
716	1914	755
717	1916	752
718	1919	750
719	1922	747
720	1925	744
721	1927	742
722	1930	739
723	1933	736
724	1935	734
725	1938	731
726	1940	728
727	1943	726
728	1945	723
729	1948	720
730	1950	717
731	1953	715
732	1956	712
733	1958	709
734	1961	707
735	1963	704
736	1966	701
737	1969	699
738	1971	696
739	1973	693
740	1976	690
741	1979	688
742	1981	685
743	1984	682
744	1986	679
745	1988	677
746	1991	674
747	1994	671
748	1996	669
749	1998	666
750	2001	663
751	2003	660
752	2006	658
753	2009	655
754	2012	653
755	2015	650
756	2018	647
757	2021	645
758	2024	642
759	2027	640
760	2030	637
761	2032	634
762	2035	632
763	2039	630
764	2043	627
765	2045	624
766	2048	622
767	2050	619
768	2053	616
769	2056	614
770	2059	611
771	2062	609
772	2064	606
773	2067	603
774	2070	600
775	2073	598
776	2075	595
777	2078	593
778	2082	590
779	2084	588
780	2087	585
781	2090	582
782	2093	580
783	2095	577
784	2098	574
785	2101	572
786	2104	569
787	2106	566
788	2109	564
789	2112	561
790	2114	558
791	2117	556
792	2120	553
793	2123	550
794	2126	548
795	2128	545
796	2131	542
797	2134	540
798	2137	537
799	2139	534
800	2142	532
801	2144	529
802	2147	526
803	2149	524
804	2152	521
805	2154	518
806	2157	515
807	2159	513
808	2162	510
809	2164	507
810	2167	505
811	2170	502
812	2172	499
813	2175	496
814	2177	494
815	2180	491
816	2183	488
817	2185	486
818	2188	483
819	2191	481
820	2194	478
821	2196	475
822	2199	473
823	2202	470
824	2206	468
825	2209	465
826	2212	462
827	2216	460
828	2219	457
829	2221	455
830	2224	452
831	2226	449
832	2229	446
833	2232	444
834	2234	441
835	2237	438
836	2240	436
837	2242	433
838	2245	430
839	2248	428
840	2251	425
841	2253	422
842	2256	420
843	2258	417
844	2261	414
845	2263	412
846	2266	409
847	2268	406
848	2271	403
849	2273	401
850	2276	398
851	2279	395
852	2281	393
853	2284	390
854	2286	387
855	2289	385
856	2292	382
857	2295	379
858	2299	377
859	2302	374
860	2305	372
861	2308	369
862	2311	366
863	2313	364
864	2316	361
865	2318	358
866	2321	356
867	2323	353
868	2326	350
869	2329	348
870	2331	345
871	2334	342
872	2337	339
873	2339	337
874	2342	334
875	2344	331
876	2347	329
877	2349	326
878	2352	323
879	2354	321
880	2357	318
881	2359	315
882	2362	313
883	2364	310
884	2367	307
885	2370	304
886	2373	302
887	2375	299
888	2378	296
889	2380	294
890	2383	291
891	2385	288
892	2388	286
893	2391	283
894	2394	280
895	2396	278
896	2399	275
897	2402	272
898	2404	270
899	2407	267
900	2409	264
901	2412	262
902	2415	259
903	2417	256
904	2420	254
905	2423	251
906	2425	248
907	2428	246
908	2431	243
909	2434	240
910	2437	238
911	2439	235
912	2442	232
913	2444	230
914	2447	227
915	2450	224
916	2452	222
917	2455	219
918	2457	216
919	2460	213
920	2462	211
921	2465	208
922	2468	205
923	2470	203
924	2473	200
925	2475	197
926	2478	195
927	2480	192
928	2483	189
929	2485	187
930	2488	184
931	2491	181
932	2493	179
933	2496	176
934	2498	173
935	2501	171
936	2504	168
937	2507	165
938	2509	163
939	2512	160
940	2515	157
941	2518	155
942	2520	152
943	2523	149
944	2526	147
945	2529	144
946	2531	141
947	2535	139
948	2538	136
949	2541	133
950	2543	131
951	2546	128
952	2549	125
953	2551	123
954	2554	120
955	2557	117
956	2560	115
957	2562	112
958	2565	109
959	2568	107
960	2571	104
961	2574	101
962	2577	99
963	2580	96
964	2583	93
965	2586	91
966	2588	88
967	2591	85
968	2594	83
969	2597	80
970	2600	77
971	2602	74
972	2605	72
973	2608	69
974	2611	66
975	2614	64
976	2616	61
977	2619	58
978	2621	56
979	2624	53
980	2626	50
981	2629	48
982	2632	45
983	2634	42
984	2637	40
985	2639	37
986	2642	34
987	2644	32
988	2647	29
989	2649	26
990	2652	24
991	2655	21
992	2657	18
993	2660	16
994	2662	13
995	2665	10
996	2667	8
997	2670	5
998	2672	2
999	2675	0
